podcast_youtube_id,podcast_name,podcast_number,published_at,description
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4wOEE0NEE4QTk1RTc0MUJB,Cómo vendieron Monopoly Go y Stumble Guys por $4.9 billones a Arabia Saudí | Scopely #325,325,2024-04-29T13:52:24Z,"Patrocinador de este episodio:
Decathlon busca startups. Conecta con nosotros en Linkedin.
Linkedin: https://bit.ly/3SdvYKx

Esta semana traemos de vuelta un podcast dedicado a todos los aficionados de los videojuegos, ya que tenemos el placer de entrevistar a Javier Ferreira, Co-CEO de una de las compañías más destacadas en el ámbito de los videojuegos móviles a nivel mundial, ""Scopely"".
Scopely cuenta con una serie de grandes éxitos, como Marvel Strike Force, The Walking Dead: Road To Survival, Looney Tunes, Scrabble® GO.

Además, su última creación, ""MONOPOLY GO!"", que se ha posicionado como líder en descargas, generando más de 300 millones en ingresos cada mes.

La clave para el éxito de Scopely ha sido su enfoque en la retención de usuarios a largo plazo, creando juegos que se convierten en la pasión de sus jugadores durante meses y años.

Ha demostrado que reclutar y retener talento es fundamental para construir una gran empresa en la industria de los videojuegos. Además, han mantenido una cultura energética que impulsa la creatividad y el éxito en el desarrollo de juegos.

Scopely ha logrado replicar el éxito de varios juegos mediante la adquisición de estudios y licencias reconocidas. La creatividad es la parte más difícil al crear un videojuego, mientras que la distribución y la monetización son retos más típicos.

El éxito en la industria de los videojuegos para móviles se basa en la capacidad de monetizar a los usuarios por encima del costo de adquisición.

La magia creativa es crucial para el éxito en la industria del videojuego.

La trayectoria profesional de Javier Ferreira es impresionante, desde sus inicios en Telefónica, pasando por Electronic Arts y Disney, hasta su llegada a Scopely en 2014 como Director de Operaciones, y posteriormente asumiendo el rol de Co-CEO en 2016.

En el podcast de hoy, hablamos sobre la importancia del storytelling en la construcción de la cultura de Scopely y en la atracción del talento y como no sobre la millonaria venta al Fondo Soberano de Arabia Saudí por 5.000 MILLONES.
Javier es un verdadero referente como empresario y creador de videojuegos.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4wRjA0RDE2QTUwMTk2MkY2,La web nº1 de Cine y TV. LÍDER en recomendaciones de películas | FilmAffinity #324,324,2024-04-15T14:40:58Z,"Sponsored by Microsoft
Microsoft for Startups Founders Hub
https://foundershub.startups.microsoft.com/signup

¡Bienvenidos a un nuevo episodio de nuestro podcast!

Descubre la historia de FilmAffinity, desde sus humildes comienzos como un Excel en 1984 hasta convertirse en una de las principales páginas de cine en España. Con un equipo enfocado en rigor y comunidad, la plataforma ofrece valoraciones fiables y rigurosas de películas y series.

FilmAffinity se destaca por su extensa base de datos y algoritmo de recomendación, liderando en contenido en español. Aunque han crecido significativamente, mantienen un enfoque en la calidad sobre la cantidad, con un equipo pequeño pero dedicado. Su visión es seguir siendo una referencia en recomendación y votación de películas durante años.

Con más de 177 millones de votos de sus más de 1 millón de usuarios registrados, FilmAffinity se ha convertido en la referencia en recomendaciones de películas basadas en la afinidad personal.
Además nos ha regalado una joya para todos los cinéfilos: 'La Guía FilmAffinity, breve historia del cine'.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4yMDAwMzEwNzAzNENFRTUw,La REALIDAD de SILICON VALLEY | Christian Almenar #323,323,2024-04-08T13:14:55Z,"Patrocinador de este episodio:

Decathlon busca startups. Conecta con nosotros en Linkedin.
Linkedin: https://bit.ly/3SdvYKx

Esta semana en el podcast de Intig traemos a Christian Almenar, CEO de Monad. En este episodio hablamos de como es crear una empresa en Silicon Valley.

Comenzamos con la experiencia única del ecosistema emprendedor de Silicon Valley, donde la creencia en que todo es posible impulsa a numerosas startups. Sin embargo, también exploramos los altos costos educativos y las oportunidades de becas que ofrecen algunas instituciones.

A través de relatos vívidos, descubrimos los desafíos legales y financieros que enfrentan las startups, desde el complejo sistema de patentes en EE. UU. hasta los costos legales que pueden amenazar su supervivencia. Pero no todo es malo: también exploramos la cultura colaborativa que impulsa la innovación en la región.

Hablaremos de la cultura laboral intensa de empresas como las de Elon Musk, exploramos las tensiones sociales que surgen en Silicon Valley, contrastando la riqueza de la región con la realidad de las personas sin hogar y otros problemas sociales. Sin embargo, también descubrimos la importancia de aprovechar los recursos universitarios como Stanford para impulsar el desarrollo empresarial.

Monad: https://www.monad.com/

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5BNDc1MTI1RDk0OTgwQjFC,La RECETA SECRETA de un NEGOCIO y una PIZZA PERFECTA | Grosso Napoletano #322,322,2024-03-18T16:11:39Z,"Sponsored by Microsoft
Microsoft for Startups Founders Hub
https://foundershub.startups.microsoft.com/signup

¡Bienvenidos a un nuevo episodio del podcast, donde nos adentramos en el apasionante universo de la pizza napolitana en compañía de los mejores de España: ¡Grosso Napoletano! 🍕
Hoy, nos sumergimos en una fascinante entrevista con el Co-Fundador de Grosso Napoletano, Hugo Rodríguez de la Prada, quien compartirá con nosotros los secretos del éxito detrás de su imperio de más de 30 restaurantes.

Desde el año 2017, cuando se inauguró el primer restaurante en la c/Hermosilla, Madrid (precisamente donde nos encontramos hoy), hasta 2023 que Grosso Napoletano ha alcanzado una facturación cercana a los 40 millones de euros, con la venta de más de 2.000.000 de pizzas.

En este episodio, cargado de emoción, exploramos desde dentro la indústria de la restauración, analizando cómo han cambiado las dinámicas a raíz del impacto del Covid-19 y cómo Grosso se enfrentó a esa etapa. Además, examinaremos cómo el concepto de delivery ha influenciado en sus restaurantes y Hugo nos revelará las experiencias y estrategias que lo han llevado al éxito y lo han destacado en la industria.

En el podcast de hoy descubriremos si el secreto de su triunfo se encuentra en la masa o en más ingredientes de ingredientes.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5BN0Q0NTk3QTY3NEFDOTE1,Globant: De Argentina a la Bolsa de Nueva York | +30 Adquisiciones | +30k Empleados | #321,321,2024-03-11T15:43:40Z,"Patrocinador de este episodio:

Decathlon busca startups. Conecta con nosotros en Linkedin.
Linkedin: https://bit.ly/3SdvYKx

En el episodio de hoy, tenemos el placer de hablar con Martín Umaran, uno de los cuatro fundadores de Globant, la empresa líder a nivel global en servicios tecnológicos.

Globant consolidó su éxito en Argentina antes de expandirse internacionalmente. En 2008, inauguraron un centro de desarrollo en la India y desde entonces han conquistado mercados en Asia y más recientemente en Europa. En 2014, Globant hizo historia al convertirse en la primera empresa de tecnología latinoamericana en cotizar en la Bolsa de Nueva York, recaudando más de 80 millones de dólares en su IPO.

Globant ha desarrollado juegos emblemáticos como FIFA de Electronic Arts, hasta soluciones innovadoras como la Magic Band de Disney y aplicaciones imprescindibles como LinkedIn. 

Martín Umaran y sus socios lograron expandirse a nivel global, convirtiéndose en líderes en tecnología digital, con más de 27.000 empleados distribuidos en 25 países. Con un asombroso crecimiento del 34% en el valor de su marca, alcanzando los 1.600 millones de dólares, Globant se ha posicionado como la marca de servicios de TI que más crece, gracias a su presencia global y sólidas prácticas financieras.

Este podcast se presenta como una completa masterclass de M&A, valores empresariales, y, sobre todo, una fuente de inspiración para emprendedores.

https://www.globant.com/es

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5GQjMwOTIyMjFDNDRBODY5,Así se SOLUCIONA el problema de $6.000 MILLONES de las piscifactorías| KOA Biotech #320,320,2024-03-04T15:50:22Z,"Sponsored by Citi.

For more information click the link:

https://icg.citi.com/icghome/what-we-do/commercial-bank?pk_campaign=itnig_podcast_series&pk_source=itnig&pk_medium=native_content

En el podcast de esta semana podrás descubrir cómo la biotecnología española está marcando la diferencia en las piscifactorías con un enfoque revolucionario que no solo reduce la mortalidad de los peces, sino que también disminuye drásticamente el uso de antibióticos.

KOA Biotech, liderado por Sira Mogas, una joven investigadora cuyo sueño de contribuir a la mejora de la salud humana la llevó a emprender un camino inesperado en el campo de la biotecnología.

Desde su infancia, Sira soñaba con ser bióloga y hacer un impacto positivo en el mundo. Pero fue a lo largo de su carrera como investigadora cuando se dio cuenta del vacío existente entre la investigación y su aplicación en el mercado. Fue entonces cuando nació la idea de KOA Biotech, una startup que busca abordar el desafío de la alta mortalidad en las piscifactorías.

Imagina por un momento: más del 50% del pescado que consumimos proviene de granjas acuícolas, pero hasta el 30% de este producto se pierde debido a infecciones. Esto no solo representa enormes pérdidas económicas, sino también un preocupante aumento en el uso de antibióticos, con graves consecuencias para la salud humana y el medio ambiente.

La empresa detecta de manera temprana las infecciones en el agua de las piscifactorías, evitando su propagación y reduciendo significativamente las pérdidas económicas y el uso de antibióticos.

¡El futuro de la acuicultura está aquí!

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5FRDBBQjE3MzdGNDBGMEJE,La MARCA de ROPA TOP 3 de Moda masculina +50.000.000€ | Silbon #319,319,2024-02-26T12:17:04Z,"Patrocinador de este episodio:

Decathlon busca startups. Conecta con nosotros en Linkedin.
Linkedin: https://bit.ly/3SdvYKx

Descubre la historia de SILBON. Fundada en 2009 en Córdoba, esta marca ha experimentado un crecimiento impresionante gracias a la visión de dos jóvenes emprendedores apasionados por la moda masculina. En este podcast profundizamos en el sector de la moda masculina, centrándose en la notable historia de éxito de Silbon. Desde sus humildes comienzos hasta su expansión internacional, se exploran los desafíos financieros, las estrategias de crecimiento, las lecciones aprendidas y las inspiraciones detrás de esta marca de moda. Con entrevistas a expertos y líderes de la industria, este podcast proporciona información valiosa sobre la gestión empresarial, la innovación en productos, las estrategias de marketing y la importancia de mantenerse relevante en un mercado competitivo.

https://www.silbonshop.com/

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS42RjkxMEE5MTI1MzBCOEIw,De AMIGOS en FACEBOOK a VENDER HOLDED por 200.000.000 € | #318,318,2024-02-19T16:55:15Z,"Sponsored by Citi.

For more information click the link:

https://icg.citi.com/icghome/what-we-do/commercial-bank?pk_campaign=itnig_podcast_series&pk_source=itnig&pk_medium=native_content

¡Bienvenidos una semana más al podcast de Itnig! En este episodio hablaremos con Javi Fondevila y Bernat Ripoll, cofundadores de Holded, un ERP en la nube que nació en 2016 como una solución a las dificultades que suponía gestionar todas las operaciones internas de una empresa. 

Holded ofrece a Pymes y emprendedores un espacio que automatiza y facilita los procesos de contabilidad, facturación, inventario, CRM y recursos humanos, con el objetivo de mejorar su eficiencia y obtener el control de todos los procesos de su propio negocio. 

En este podcast, descubriremos el curioso inicio de Holded, como dos emprendedores se unieron sin apenas conocerse, y se embarcaron en un proyecto que llegó a sumar más de 22 millones de euros en 4 rondas de financiación y más de 80000 Pymes en su servicio. 

Y para su sorpresa, con su última ronda de inversión cerrada, una oferta de compra de la multinacional noruega Visma, que acabó siendo una realidad. Holded es comprada por más de 200 millones de euros. 

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4yMUI5NkExNjhCMDc5RjRD,La agencia de VIAJES SORPRESA que sobrevivió al COVID | Waynabox #317,317,2024-02-12T14:45:26Z,"Patrocinador de este episodio:

Decathlon busca startups. Conecta con nosotros en Linkedin.
Linkedin: https://bit.ly/3SdvYKx

En el episodio de esta semana, descubre la historia de historia de Waynabox, la primera agencia de viajes sorpresa en España. Estamos con Pau Sendra i Moreno (Founder) y Jordi Agusti (CEO).

¿Te imaginas descubrir tu próximo destino apenas dos días antes de partir? Con Waynabox, esto es una realidad. En este podcasts descubirarás este viaje mientras exploramos cómo Waynabox ha transformado la industria del turismo, ofreciendo experiencias únicas y emocionantes a precios accesibles.

Desde sus comienzos como una idea para aprovechar los billetes de avión vacíos, hasta convertirse en una empresa líder en el mercado europeo, exploraremos cada paso del camino de Waynabox. Descubriremos cómo la pandemia de COVID-19 desafió a la empresa, pero también cómo logró adaptarse, innovar y seguir adelante.

Analizaremos las estrategias comerciales, los desafíos financieros y los momentos clave que han definido el éxito de Waynabox. Desde su estrategia de marketing hasta su enfoque en la rentabilidad y el crecimiento sostenible, cada aspecto de esta empresa única será desentrañado.

Para finalizar nos explicaran la compra de Waynabox por el grupo Atresmedia. Con el respaldo financiero de Atresmedia, Waynabox planea expandirse en Europa y fortalecer su posición en los mercados existentes. Además, Atresmedia ha invertido en más de 30 startups desde 2014, buscando diversificar sus fuentes de ingresos y reducir la dependencia de la publicidad. Esta adquisición representa un paso más en la estrategia de inversión de Atresmedia, que ha transformado su filial Flooxplay en una sociedad de inversión llamada Atresmedia Capital.

Una historia inspiradora sobre emprendimiento y resiliencia.

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4xN0EwMDIyNjM0N0FGMkUw,"Cómo FILMIN PELEA entre Netflix, HBO y Disney | Juan Carlos Tous #316",316,2024-02-05T19:54:48Z,"Sponsored by Citi.

For more information click the link:

https://icg.citi.com/icghome/what-we-do/commercial-bank?pk_campaign=itnig_podcast_series&pk_source=itnig&pk_medium=native_content

¡Bienvenidos a un nuevo episodio de nuestro podcast, donde exploramos el universo de la primera plataforma de streaming española: ¡Filmin!

Hoy, nos sumergimos en una reveladora entrevista con el CEO, Juan Carlos Tous, quien compartirá los secretos de una industria que genera alrededor de 80 millones de euros solo en taquilla en España.

Nos desvelará las experiencias y estrategias que llevaron a la plataforma a triunfar y destacar en un mercado competitivo con titanes como Netflix, HBO y Disney.

Desde el inicio hasta el presente, exploraremos la historia corporativa de Filmin, adentrándonos en las complejas dinámicas de gestión que definen a este negocio. Además, abordaremos cómo la marca ""Filmin"" se ha construido sobre cimientos, destacando su enfoque en la innovación, servicio excepcional y la prioridad absoluta de ofrecer contenido de alta calidad en un nicho específico.

¡Un viaje inspirador donde la visión, la pasión y los valores convergen para construir una plataforma referente en el mundo del cine!

Web de Filmin: https://www.filmin.es/


"
